Transaction_ID,Customer_ID,Product_Category,Product_SKU,Transaction_Date,Unit_Price,Quantity,Revenue,Variable_Cost,COGS,Marketing_Spend,Region,Payment_Method
TXN001,CUST001,Electronics,SKU001,2025-01-15,299.99,2,599.98,239.99,240,150,West,Credit Card
TXN002,CUST002,Clothing,SKU002,2025-01-16,49.99,3,149.97,52.49,52,200,East,Debit Card
TXN003,CUST001,Electronics,SKU003,2025-01-17,149.99,1,149.99,67.50,67,150,West,Credit Card
TXN004,CUST003,Home & Garden,SKU004,2025-01-18,89.99,2,179.98,68.39,68,180,South,PayPal
TXN005,CUST002,Electronics,SKU001,2025-01-19,299.99,1,299.99,119.99,120,200,East,Credit Card
TXN006,CUST004,Clothing,SKU005,2025-01-20,79.99,2,159.98,57.59,58,220,North,Debit Card
TXN007,CUST005,Electronics,SKU003,2025-01-21,149.99,3,449.97,202.50,202,190,West,Credit Card
TXN008,CUST003,Home & Garden,SKU006,2025-01-22,129.99,1,129.99,50.70,51,180,South,PayPal
TXN009,CUST006,Clothing,SKU002,2025-01-23,49.99,4,199.96,69.99,70,250,East,Cash
TXN010,CUST001,Electronics,SKU001,2025-01-24,299.99,1,299.99,119.99,120,150,West,Credit Card
TXN011,CUST007,Home & Garden,SKU007,2025-02-01,199.99,1,199.99,83.96,84,175,North,Credit Card
TXN012,CUST002,Electronics,SKU008,2025-02-02,399.99,1,399.99,171.96,172,200,East,Credit Card
TXN013,CUST008,Clothing,SKU002,2025-02-03,49.99,2,99.98,34.99,35,230,West,Debit Card
TXN014,CUST004,Electronics,SKU001,2025-02-04,299.99,2,599.98,239.99,240,220,North,Credit Card
TXN015,CUST009,Home & Garden,SKU004,2025-02-05,89.99,3,269.97,102.59,103,195,South,PayPal
TXN016,CUST010,Electronics,SKU009,2025-02-06,549.99,1,549.99,247.50,248,210,West,Credit Card
TXN017,CUST005,Clothing,SKU010,2025-02-07,129.99,1,129.99,51.99,52,190,West,Cash
TXN018,CUST003,Electronics,SKU003,2025-02-08,149.99,2,299.98,135.00,135,180,South,Credit Card
TXN019,CUST011,Home & Garden,SKU011,2025-02-09,249.99,1,249.99,112.50,113,225,East,Debit Card
TXN020,CUST006,Electronics,SKU008,2025-02-10,399.99,1,399.99,171.96,172,250,East,Credit Card
